Customer ID,Recency,Frequency,Monetary,KMeans_Cluster,Cluster_Persona
12346,165,33,372.86,0,At-Risk Customers
12347,3,68,1224.17,3,Potential Loyalists
12348,74,20,222.16,3,Potential Loyalists
12349,43,91,1814.09,3,Potential Loyalists
12351,11,20,288.18,3,Potential Loyalists
12352,11,17,331.05,3,Potential Loyalists
12353,44,20,317.76,3,Potential Loyalists
12355,203,20,437.11,0,At-Risk Customers
12356,16,55,1100.65,3,Potential Loyalists
12357,24,119,3751.28,3,Potential Loyalists
12358,11,43,1180.41,3,Potential Loyalists
12359,61,104,1835.46,3,Potential Loyalists
12360,28,80,1218.79,3,Potential Loyalists
12361,98,16,276.35,0,At-Risk Customers
12368,264,11,439.5,2,Hibernating / Low-Value
12369,49,86,1296.03,3,Potential Loyalists
12370,260,29,474.92,2,Hibernating / Low-Value
12371,45,101,1819.42,3,Potential Loyalists
12373,260,34,581.75,2,Hibernating / Low-Value
12374,57,36,1369.05,3,Potential Loyalists
12376,53,7,112.55,3,Potential Loyalists
12377,17,68,1421.32,3,Potential Loyalists
12378,198,71,1159.37,0,At-Risk Customers
12379,58,38,673.08,3,Potential Loyalists
12380,101,149,3676.32,0,At-Risk Customers
12385,15,60,1444.1,3,Potential Loyalists
12386,2,7,215.70000000000002,3,Potential Loyalists
12387,51,8,110.03999999999999,3,Potential Loyalists
12388,81,45,1089.85,3,Potential Loyalists
12389,38,47,1209.43,3,Potential Loyalists
12391,100,164,1645.48,0,At-Risk Customers
12392,227,5,196.95,2,Hibernating / Low-Value
12393,18,38,684.2,3,Potential Loyalists
12395,7,83,1471.44,3,Potential Loyalists
12396,310,63,900.58,2,Hibernating / Low-Value
12399,21,38,564.6899999999999,3,Potential Loyalists
12400,50,11,205.25,3,Potential Loyalists
12402,28,53,928.55,3,Potential Loyalists
12403,157,1,67.5,0,At-Risk Customers
12406,35,48,1952.02,3,Potential Loyalists
12408,21,44,875.4399999999999,3,Potential Loyalists
12409,56,48,3057.08,3,Potential Loyalists
12410,138,13,240.38,0,At-Risk Customers
12411,45,21,287.2,3,Potential Loyalists
12412,38,55,1005.79,3,Potential Loyalists
12413,38,7,122.85,3,Potential Loyalists
12414,99,5,74.88,0,At-Risk Customers
12415,11,96,3207.15,3,Potential Loyalists
12416,292,11,202.56,2,Hibernating / Low-Value
12417,46,132,2056.9,3,Potential Loyalists
12418,49,63,1269.05,3,Potential Loyalists
12419,21,20,274.31,3,Potential Loyalists
12421,51,17,218.60999999999999,3,Potential Loyalists
12422,30,107,1816.24,3,Potential Loyalists
12423,23,37,643.68,3,Potential Loyalists
12424,58,51,1089.1299999999999,3,Potential Loyalists
12425,84,53,923.89,3,Potential Loyalists
12426,298,46,690.48,2,Hibernating / Low-Value
12427,7,9,249.5,3,Potential Loyalists
12429,1,55,1858.3899999999999,3,Potential Loyalists
12431,9,159,3603.87,3,Potential Loyalists
12433,2,236,5007.43,3,Potential Loyalists
12434,17,19,287.34000000000003,3,Potential Loyalists
12435,32,44,2029.18,3,Potential Loyalists
12437,31,319,6074.54,3,Potential Loyalists
12439,318,67,1096.48,2,Hibernating / Low-Value
12440,98,28,699.4,0,At-Risk Customers
12441,2,10,155.55,3,Potential Loyalists
12443,368,17,281.65999999999997,2,Hibernating / Low-Value
12445,56,20,301.58,3,Potential Loyalists
12450,35,28,464.82,3,Potential Loyalists
12451,99,135,2786.52,0,At-Risk Customers
12455,81,121,2146.19,3,Potential Loyalists
12457,71,15,334.1,3,Potential Loyalists
12458,63,43,685.24,3,Potential Loyalists
12459,241,19,343.35,2,Hibernating / Low-Value
12460,92,14,236.95,3,Potential Loyalists
12467,59,9,132.8,3,Potential Loyalists
12468,162,93,1895.32,0,At-Risk Customers
12469,158,61,1021.3,0,At-Risk Customers
12470,325,21,183.25,2,Hibernating / Low-Value
12471,10,589,12814.7,3,Potential Loyalists
12472,5,535,9587.86,3,Potential Loyalists
12474,14,264,4301.84,3,Potential Loyalists
12475,45,23,376.36,3,Potential Loyalists
12476,33,246,5728.61,3,Potential Loyalists
12477,35,239,5351.23,3,Potential Loyalists
12480,35,75,1381.92,3,Potential Loyalists
