Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Action,KMeans_Cluster
12346,165,33,372.86,2,3,2,At Risk,Launch win-back campaigns and offer special discounts.,0
12347,3,68,1224.17,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12348,74,20,222.16,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,3
12349,43,91,1814.09,3,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12351,11,20,288.18,5,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12352,11,17,331.05,5,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12353,44,20,317.76,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12355,203,20,437.11,1,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12356,16,55,1100.65,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12357,24,119,3751.28,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12358,11,43,1180.41,5,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12359,61,104,1835.46,3,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12360,28,80,1218.79,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12361,98,16,276.35,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12368,264,11,439.5,1,1,3,Hibernating,Re-engage with reminder emails and promotions.,2
12369,49,86,1296.03,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12370,260,29,474.92,1,2,3,Hibernating,Re-engage with reminder emails and promotions.,2
12371,45,101,1819.42,3,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12373,260,34,581.75,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,2
12374,57,36,1369.05,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12376,53,7,112.55,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12377,17,68,1421.32,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12378,198,71,1159.37,1,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12379,58,38,673.08,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12380,101,149,3676.32,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,0
12385,15,60,1444.1,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12386,2,7,215.70000000000002,5,1,2,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12387,51,8,110.03999999999999,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12388,81,45,1089.85,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,3
12389,38,47,1209.43,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12391,100,164,1645.48,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,0
12392,227,5,196.95,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12393,18,38,684.2,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12395,7,83,1471.44,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12396,310,63,900.58,1,4,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12399,21,38,564.6899999999999,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12400,50,11,205.25,3,1,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12402,28,53,928.55,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12403,157,1,67.5,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12406,35,48,1952.02,4,3,5,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12408,21,44,875.4399999999999,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12409,56,48,3057.08,3,3,5,Need Attention,Use personalized outreach and surveys.,3
